Best,Epoch,Trades,Avg profit,Median profit,Total profit,Stake currency,Profit,Avg duration,Objective,rsi-value,rsi-enabled,trigger,sell-rsi-value,sell-rsi-enabled,sell-trigger,roi_t1,roi_t2,roi_t3,roi_p1,roi_p2,roi_p3,stoploss
* Best,1,1274,-0.12%,0.079693,-0.01558840,BTC,-155.73,65.9 m,60.95383,42,False,bb_lower_1,44,False,sell-bb_lower_1,105,25,31,0.04,0.066,0.187,-0.22
* Best,2,89,-1.03%,0.0,-0.00920019,BTC,-91.91,604.2 m,9.72992,29,False,bb_lower_4,76,True,sell-bb_middle_1,96,38,39,0.033,0.065,0.14,-0.265
*,3,465,-0.14%,0.072274,-0.00648112,BTC,-64.75,214.1 m,16.96062,11,False,bb_lower_2,50,True,sell-bb_upper_1,120,45,16,0.014,0.026,0.142,-0.296
*,4,221,-0.31%,0.0,-0.00694620,BTC,-69.39,87.8 m,14.84227,35,False,bb_lower_4,60,False,sell-bb_lower_1,31,24,10,0.022,0.022,0.01,-0.336
*,5,383,-0.38%,0.0,-0.01455525,BTC,-145.41,319.2 m,28.10025,20,True,bb_lower_2,69,True,sell-bb_lower_1,85,47,32,0.013,0.032,0.024,-0.115
*,6,500,-0.25%,0.137601,-0.01273774,BTC,-127.25,90.5 m,36.08126,35,True,bb_lower_2,34,True,sell-bb_lower_1,105,23,16,0.024,0.04,0.081,-0.319
*,7,571,-0.36%,0.033378,-0.02076914,BTC,-207.48,176.4 m,43.88949,42,True,bb_lower_1,45,True,sell-bb_upper_1,99,17,16,0.01,0.028,0.117,-0.277
*,8,416,-0.40%,0.0,-0.01672703,BTC,-167.10,293.9 m,31.04455,50,False,bb_lower_2,64,True,sell-bb_lower_1,104,56,27,0.029,0.053,0.19,-0.08
*,9,112,-0.52%,0.0,-0.00587591,BTC,-58.70,115.2 m,18.21915,47,True,bb_lower_3,40,True,sell-bb_middle_1,89,28,10,0.011,0.066,0.16,-0.129
*,10,383,-0.41%,0.0,-0.01585286,BTC,-158.37,72.7 m,66.10297,47,False,bb_lower_3,38,False,sell-bb_middle_1,16,26,40,0.026,0.039,0.01,-0.024
*,11,335,-0.20%,0.0,-0.00683119,BTC,-68.24,411.4 m,11.86695,25,True,bb_lower_2,78,True,sell-bb_middle_1,53,16,24,0.014,0.015,0.018,-0.308
*,12,161,-0.68%,0.0,-0.01093949,BTC,-109.29,675.3 m,10.70530,30,False,bb_lower_3,79,True,sell-bb_middle_1,38,49,35,0.039,0.062,0.09,-0.343
*,13,513,-0.20%,0.025992,-0.01020845,BTC,-101.98,194.3 m,21.97225,18,False,bb_lower_2,30,False,sell-bb_upper_1,106,54,22,0.033,0.055,0.1,-0.125
* Best,14,434,-0.01%,0.0,-0.00063595,BTC,-6.35,254.8 m,5.30308,42,False,bb_lower_2,64,True,sell-bb_lower_1,34,15,30,0.014,0.02,0.142,-0.225
*,15,196,-0.46%,0.0,-0.00894624,BTC,-89.37,405.9 m,11.60392,12,False,bb_lower_3,65,True,sell-bb_middle_1,64,40,40,0.01,0.061,0.152,-0.334
